"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/cuir-1594.r.html","1","CUIR sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","107","637","Indexable",""
"https://www.rougier-ple.fr/enfant-perle-bijoux.r.html","1","PERLE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","647","Indexable",""
"https://www.rougier-ple.fr/enfant-fournitures-papeterie.r.html","1","FOURNITURES sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","114","698","Indexable",""
"https://www.rougier-ple.fr/loisirs-creatifs-plume.r.html","1","PLUME DÉCORATIVE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","119","739","Indexable",""
"https://www.rougier-ple.fr/programme-fidelite.html.r.html","1","","0","0","Indexable",""
"https://www.rougier-ple.fr/beaux-arts/acrylique.r.html","1","ACRYLIQUE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","112","680","Indexable",""
"https://www.rougier-ple.fr/vernis-patine.r.html","1","VERNIS sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","654","Indexable",""
"https://www.rougier-ple.fr/adhesifs-masking-tape.r.html","1","ADHÉSIFS sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","111","671","Indexable",""
"https://www.rougier-ple.fr/agenda-calendrier.r.html","1","AGENDA sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","661","Indexable",""
"https://www.rougier-ple.fr/pyrogravure.r.html","1","Pyrogravure : 
				Fournitures et matériel du rayon 
				Pyrogravure 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","136","726","Indexable",""
"https://www.rougier-ple.fr/feutrine-mousse-creative-enfant.r.html","1","FEUTRINE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","111","670","Indexable",""
"https://www.rougier-ple.fr/stylo-stylo-feutre.r.html","1","STYLO sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","648","Indexable",""
"https://www.rougier-ple.fr/alginate-moulage.r.html","1","ALGINATE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","111","672","Indexable",""
"https://www.rougier-ple.fr/modelage.r.html","1","Modelage : 
				Fournitures et matériel du rayon 
				Modelage 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","130","700","Indexable",""
"https://www.rougier-ple.fr/papier-de-soie-crepon.r.html","1","PAPIER DE SOIE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","117","708","Indexable",""
"https://www.rougier-ple.fr/fusain-crayon-porte-mine.r.html","1","FUSAIN sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","654","Indexable",""
"https://www.rougier-ple.fr/decopatch.r.html","1","Collage : 
				Fournitures et matériel du rayon 
				Collage 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","128","670","Indexable",""
"https://www.rougier-ple.fr/feutre-surligneur.r.html","1","FEUTRE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","656","Indexable",""
"https://www.rougier-ple.fr/confection-abat-jour.r.html","1","Fabriquer un abat jour : 
				Fournitures et matériel du rayon 
				Fabriquer un abat jour 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","158","848","Indexable",""
"https://www.rougier-ple.fr/moule-gateau-deco-enfant.r.html","1","MOULE À GÂTEAU sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","117","723","Indexable",""
"https://www.rougier-ple.fr/petites-fournitures.r.html","1","GOMME sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","658","Indexable",""
"https://www.rougier-ple.fr/papier-1585.r.html","1","PAPIER sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","654","Indexable",""
"https://www.rougier-ple.fr/coffret-beaux-arts.r.html","1","COFFRET BEAUX-ARTS sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","121","752","Indexable",""
