"Adresse","Title 1","Occurrences","Hreflang HTML 1","URL hreflang HTML 1","Hreflang HTTP 1","URL hreflang HTTP 1","Hreflang du sitemap 1","URL hreflang du sitemap 1","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/pyrograveur-pointe.r.html","Pyrograveur, pointe","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/devis-bon-commande.r.html","Devis - Bon de commande - Bon administratif - Rougier & Plé - Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/promotions2.r.html?f=att_628:9862","Promotions chez Rougier & Plé","0","","","","","","","Non indexable","Canonisé"
"https://www.rougier-ple.fr/boite-pastels.r.html","Boite pastels : coffrets de pastels et boites de rangement pour pastel sur Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/accessoire-beaux-arts.r.html","Accessoire Beaux-Arts","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/encre-1735.r.html","Encre de Chine - Encre art graphique","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/coloriage-adulte.r.html","Coloriage Adulte sur Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/peinture-deco.r.html","Home Déco - Peinture décorative et objets à customiser | Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/fournitures-de-bureau.r.html","Fournitures de bureau variées Articles de papeterie pas chers Chez Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/newsletter.r.html","Rougier & Plé – Inscription à la newsletter","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/cutter-ciseaux-lame.r.html","Cutter, Ciseaux, Lame","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/chambre-enfant-deco.r.html","Décoration chambre enfant DIY | Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/enfant-masque-deguisement.r.html","Masques à personnaliser, Déguisements pour enfant | Rougier&Plé<br type=""_moz"" />","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/feuilles-dorer.r.html","Feuilles à dorer","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/mentions-legales.r.html","Mentions Légales - Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/promotions2.r.html","Promotions chez Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/crayon-de-couleur-1590.r.html","Crayons de couleur - Toutes les couleurs possibles","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/la-livraison.r.html","La livraison - Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/maquettisme.r.html","Materiel maquettisme pas cher - Matériel modelisme- Rougier&Plé","0","","","","","","","Indexable",""
