"Adresse","Type de contenu","Code HTTP","Statut","Version HTTP","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Meta Robots 1","Balise X-Robots 1"
"https://www.rougier-ple.fr/VAD/resources/js/common/md5.js","text/javascript","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/carte-gratter-carte-pailleter.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/carte-gratter-carte-pailleter.r.html","",""
"https://www.rougier-ple.fr/library/css/img/encart_layer2.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-Rougier-2025-S10_01.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/vernis-colle-pinceau-1592.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/vernis-colle-pinceau-1592.r.html","",""
"https://www.rougier-ple.fr/coloriages-mysteres.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/coloriages-mysteres.r.html","",""
"https://www.rougier-ple.fr/conditions-generales-vente.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/conditions-generales-vente.r.html","",""
"https://www.rougier-ple.fr/VAD/resources/js/jquery/jquery.i18n.js","text/javascript","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/encre-1596.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/encre-1596.r.html","",""
"https://www.rougier-ple.fr/carterie-creative.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/carterie-creative.r.html","",""
"https://www.rougier-ple.fr/tableau-creatif-enfant.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/tableau-creatif-enfant.r.html","",""
"https://www.rougier-ple.fr/cuir-1594.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/cuir-1594.r.html","",""
"https://www.rougier-ple.fr/enfant-perle-bijoux.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/enfant-perle-bijoux.r.html","",""
"https://www.rougier-ple.fr/enfant-fournitures-papeterie.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/enfant-fournitures-papeterie.r.html","",""
"https://www.rougier-ple.fr/loisirs-creatifs-plume.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/loisirs-creatifs-plume.r.html","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques_canson.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/programme-fidelite.html.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/programme-fidelite.html.r.html","",""
"https://www.rougier-ple.fr/beaux-arts/acrylique.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/beaux-arts/acrylique.r.html","",""
"https://www.rougier-ple.fr/vernis-patine.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/vernis-patine.r.html","",""
"https://www.rougier-ple.fr/adhesifs-masking-tape.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/adhesifs-masking-tape.r.html","",""
