"Adresse","Title 1","Occurrences","Hreflang HTML 1","URL hreflang HTML 1","Hreflang HTML 2","URL hreflang HTML 2","Hreflang HTTP 1","URL hreflang HTTP 1","Hreflang du sitemap 1","URL hreflang du sitemap 1","Indexabilité","Statut d'indexabilité"
"https://www.infopro-digital.com/fr/carrieres/travailler-chez-infopro-digital/","Travailler chez Infopro Digital - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/carrieres/travailler-chez-infopro-digital/","en","https://www.infopro-digital.com/careers/working-at-infopro-digital/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/groupe/strategie-rse/","Nos engagements RSE pour contribuer au succès durable de nos clients","2","fr","https://www.infopro-digital.com/fr/groupe/strategie-rse/","en","https://www.infopro-digital.com/group/esg-strategy/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-est-classe-26eme-meilleur-employeur-en-2022-dans-la-categorie-tech-du-palmares-capital/","Infopro Digital est classé 26ème meilleur employeur en 2022 dans la catégorie tech du palmarès Capital - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=contenu","Job Board - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/carrieres/job-board/","en","https://www.infopro-digital.com/careers/job-board/","","","","","Non indexable","Canonisé"
"https://www.infopro-digital.com/media/","Media - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/medias/","en","https://www.infopro-digital.com/media/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-index-de-legalite-femmes-hommes-2024/","Infopro Digital – Index de l’égalité femmes-hommes 2024 - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=support","Job Board - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/carrieres/job-board/","en","https://www.infopro-digital.com/careers/job-board/","","","","","Non indexable","Canonisé"
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=information-technology","Job Board - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/carrieres/job-board/","en","https://www.infopro-digital.com/careers/job-board/","","","","","Non indexable","Canonisé"
"https://www.infopro-digital.com/solutions/lead-generation-platforms/","Get leads, clients, and sales with our digital platforms","2","fr","https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","en","https://www.infopro-digital.com/solutions/lead-generation-platforms/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/","Job Board - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/carrieres/job-board/","en","https://www.infopro-digital.com/careers/job-board/","","","","","Indexable",""
"https://www.infopro-digital.com/solutions/software-and-databases/","The best of data and technology for your business software","2","fr","https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","en","https://www.infopro-digital.com/solutions/software-and-databases/","","","","","Indexable",""
"https://www.infopro-digital.com/group/international/","International - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/groupe/international/","en","https://www.infopro-digital.com/group/international/","","","","","Indexable",""
"https://www.infopro-digital.com/solutions/","Digital solutions for professionals, companies, and local governments","2","fr","https://www.infopro-digital.com/fr/expertises/","en","https://www.infopro-digital.com/solutions/","","","","","Indexable",""
"https://www.infopro-digital.com/sectors/construction-and-public-sector/","Construction and public sector: trends, analysis, and solutions","2","fr","https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","en","https://www.infopro-digital.com/sectors/construction-and-public-sector/","","","","","Indexable",""
"https://www.infopro-digital.com/legal-notice-and-gtu/","Legal Notice and GTU - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","en","https://www.infopro-digital.com/legal-notice-and-gtu/","","","","","Non indexable","Canonisé"
"https://www.infopro-digital.com/fr/mot-de-passe-oublie/","Mot de passe oublié ? - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/mot-de-passe-oublie/","en","https://www.infopro-digital.com/forgot-your-password-2/","","","","","Indexable",""
"https://www.infopro-digital.com/financial-access/","Financial access - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/acces-finance/","en","https://www.infopro-digital.com/financial-access/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/nous-contacter/","Nous contacter - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/nous-contacter/","en","https://www.infopro-digital.com/financial-contact-us/","","","","","Indexable",""
"https://www.infopro-digital.com/sectors/industry/","The transformation of industry is just getting started","2","fr","https://www.infopro-digital.com/fr/secteurs/industrie/","en","https://www.infopro-digital.com/sectors/industry/","","","","","Indexable",""
"https://www.infopro-digital.com/sectors/risk-and-insurance/","Insurance and risk industry: trends and solutions.","2","fr","https://www.infopro-digital.com/fr/secteurs/risques-et-assurances/","en","https://www.infopro-digital.com/sectors/risk-and-insurance/","","","","","Indexable",""
"https://www.infopro-digital.com/solutions/information-and-insights/","Top influential media brands to target B2B decision-makers","2","fr","https://www.infopro-digital.com/fr/expertises/information-et-insights/","en","https://www.infopro-digital.com/solutions/information-and-insights/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-dabonnement-et-dutilisation-moniteur-juris/","CONDITIONS GÉNÉRALES DE VENTE TERRITORIAL EDITIONS - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/cgv-des-editions-de-largus-de-lassurance-derniere-mise-a-jour-07-2024/","CGV DES ÉDITIONS DE L'ARGUS DE L'ASSURANCE (dernière mise à jour 08/2025) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-ipdata-service/","General terms and conditions of sale France - IPDATA Service (last updated 07/2024) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-ipd-leads/","Conditions Générales de Vente du SERVICE IPD LEADS (dernière mise à jour 10/2025) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-infopro-digital-etudes/","General terms and conditions of sale France - Infopro Digital Etudes (last updated 07/2024)  - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/","Terms and Conditions for services and products delivered by Infopro Digital Services Limited - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/cgv/","en","https://www.infopro-digital.com/terms-and-conditions/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-ventes-conditions-generales-dabonnement-et-dutilisation-kheox/","CONDITIONS GENERALES DE VENTES Conditions générales d’abonnement et d’utilisation «KHEOX» - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-dabonnement-et-dutilisation-moniteur-juris-2/","CONDITIONS GÉNÉRALES D’ABONNEMENT ET D’UTILISATION « MONITEUR JURIS » - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-editions-du-moniteur/","CONDITIONS GÉNÉRALES DE VENTE EDITIONS DU MONITEUR - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-webinar-service/","General terms and conditions of sale France - Webinar service General terms and conditions of sale France - Infopro Digital Stories (last updated 07/2025)  - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-dabonnement-des-produits-de-presse-et-des-services-numeriques/","Conditions Générales De Vente D'abonnement et d'Utilisation Des Produits De Presse Et Des Services Numériques + Offres PASS (dernière mise à jour 03/2025) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-et-dutilisation-des-produits-et-services-batiprix/","CONDITIONS GÉNÉRALES DE VENTE ET D’UTILISATION DES PRODUITS ET SERVICES BATIPRIX (dernière mise à jour le 09/2025) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-for-selling-ad-space-press-internet-and-references/","General terms and conditions for Selling ad space press, Internet, and References (last update 10/2025) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-events/","Conditions Générales de Vente Events (dernière mise à jour 07/2024) - Infopro Digital","0","","","","","","","","","Indexable",""
